school_year,dpi_true_id,school_name,accurate_agency_type,overall_score,overall_rating,school_enrollment,sch_ach,sch_growth,sch_cg,sch_tgo,sch_ot,cfc_score,cfc_rating,cfc_ssm_score,cfc_ssm_rating,cfc_milwaukee_indicator
2018-19,2177_0020,Nicolet High,Traditional Public,85.6,Significantly Exceeds Expectations,1087,82.9,87.9,79.7,NA,97,NA,NA,NA,NA,0
2018-19,3976_0020,Norris Academy,Traditional Public,NA,Alternate Rating - Satisfactory Progress,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,3976_0800,Norris Academy Virtual School,Instrumentality Charter,NA,Alternate Rating - Satisfactory Progress,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,4690_0020,North Cape Elementary,Traditional Public,68.1,Meets Expectations^,198,75.7,67.9,34.1,NA,89.5,NA,NA,NA,NA,0
2018-19,2016_0110,North Crawford Elementary,Traditional Public,74.5,Exceeds Expectations,309,55.1,70.8,77.5,NA,81.9,NA,NA,NA,NA,0
2018-19,2016_0120,North Crawford High,Traditional Public,56.1,Meets Few Expectations,147,48.2,47,63.4,NA,95.5,NA,NA,NA,NA,0
2018-19,3983_0020,Bessie Allen Middle,Traditional Public,72.2,Meets Expectations,327,48.4,72.7,71,NA,83.4,NA,NA,NA,NA,0
2018-19,3983_0055,Friendship Learning Elementary,Traditional Public,70.7,Meets Expectations,487,48.5,64.1,76,NA,85.6,NA,NA,NA,NA,0
2018-19,3983_0060,Horace Mann High,Traditional Public,74.4,Exceeds Expectations,435,43.9,68.9,86.8,NA,94.1,NA,NA,NA,NA,0
2018-19,3514_0020,North Lake Elementary,Traditional Public,89.3,Significantly Exceeds Expectations,335,95.9,73.6,74,NA,95.7,NA,NA,NA,NA,0
